,model,date,training_length,test_length,mae,msae,rho
13982,naive_model,252,5760,960,16.89438541666667,513.9700415625,0.5667821939919803
13983,xgboost,252,5760,2880,18.21765541103151,680.7798251521771,0.7374439063356693
13984,elastic_net,252,5760,2880,19.911884938578265,767.6795669392803,0.708083954643931
13985,naive_model,252,5760,2880,23.849604166666666,1346.8827110416669,0.525842623910488
13986,xgboost,252,8640,96,10.284951769510904,160.8986373112949,0.7084275190542104
13987,elastic_net,252,8640,96,12.815514956365178,230.56729315377103,0.7379137276180141
13988,naive_model,252,8640,96,23.72666666666667,954.2448770833334,0.6923541261290971
13989,xgboost,252,8640,192,10.084272212982178,149.14948280883863,0.8022411342907377
13990,elastic_net,252,8640,192,14.89761559741232,335.06493290311533,0.7900920173503747
13991,naive_model,252,8640,192,20.05723958333333,679.1516484375001,0.6747905140116416
13992,xgboost,252,8640,384,8.349465961058934,112.6550620731283,0.8714677634971338
13993,elastic_net,252,8640,384,12.396681816354338,246.6311550347873,0.8443970099756347
13994,naive_model,252,8640,384,18.12703125,530.1236901041667,0.7750261984461241
13995,xgboost,252,8640,960,10.071415389060974,183.450313013132,0.7999991889089105
13996,elastic_net,252,8640,960,13.028867322805969,266.8024908385183,0.780331357645048
13997,naive_model,252,8640,960,17.960885416666667,521.1374353125,0.5896634723345674
13998,xgboost,253,2880,96,18.880338300069173,527.7605946127193,0.786753035990342
13999,elastic_net,253,2880,96,32.79795311008055,1335.737856520027,0.7062765366430679
14000,naive_model,253,2880,96,9.160625,170.06946666666664,0.872467562436558
14001,xgboost,253,2880,192,18.49762666861216,476.5945066119266,0.7951107149834714
14002,elastic_net,253,2880,192,31.379633106918863,1152.7329909262778,0.7789035716873705
14003,naive_model,253,2880,192,9.344895833333332,175.12123749999998,0.8437716968450998
14004,xgboost,253,2880,384,23.30918938477834,1410.6310964933837,0.8352810091386476
14005,elastic_net,253,2880,384,31.518674987841127,2222.9954194228894,0.8049934545668873
14006,naive_model,253,2880,384,19.30903645833333,1333.02607578125,0.7537201560988032
14007,xgboost,253,2880,960,22.21237624132633,1073.2419284991024,0.7501704506339217
14008,elastic_net,253,2880,960,23.483606804025428,1225.8650667168215,0.7853255260662524
14009,naive_model,253,2880,960,20.74273958333333,1191.3829719791668,0.7032750228058346
14010,xgboost,253,2880,2880,20.781210675673357,828.1258646497373,0.7098698829591197
14011,elastic_net,253,2880,2880,21.267729329081995,862.9402553871322,0.7874471595576422
14012,naive_model,253,2880,2880,23.257597222222223,1243.4576047916669,0.7209755220183339
14013,xgboost,253,5760,96,13.46657760620117,299.9243770266389,0.6996025448628584
14014,elastic_net,253,5760,96,16.89960125301264,478.252612522529,0.4018312533912099
14015,naive_model,253,5760,96,15.382291666666667,415.4812458333333,0.5525908844275637
14016,xgboost,253,5760,192,11.527603024641673,256.48946446477424,0.7834262613429557
14017,elastic_net,253,5760,192,12.193340837821182,285.6797122938667,0.6904552292301075
14018,naive_model,253,5760,192,13.949010416666669,342.60409635416664,0.7370835761744455
14019,xgboost,253,5760,384,15.91935534675916,490.3388839455931,0.7744630905705597
14020,elastic_net,253,5760,384,16.034261967494768,500.1894569210528,0.7036708841110765
14021,naive_model,253,5760,384,18.06973958333333,511.07198333333326,0.7087152874286581
14022,xgboost,253,5760,960,14.348267455895742,377.3872139244162,0.6994344807163894
14023,elastic_net,253,5760,960,14.867052211059326,396.7756769662168,0.6124346667732752
14024,naive_model,253,5760,960,17.079614583333335,521.3398803125001,0.5834533210371687
14025,xgboost,253,5760,2880,18.35166521501541,688.0557996435106,0.7360115440853782
14026,elastic_net,253,5760,2880,20.00793051472203,756.4429550857095,0.7124922693117651
14027,naive_model,253,5760,2880,24.414743055555554,1375.9835074305556,0.5294890239166161
14028,xgboost,253,8640,96,10.632538374265035,172.11082084514706,0.8850400862422303
14029,elastic_net,253,8640,96,16.931165002867882,438.5891457715986,0.8933698228816389
14030,naive_model,253,8640,96,16.3878125,404.0584197916666,0.7304419779002186
14031,xgboost,253,8640,192,7.808006082375845,105.36189469329412,0.8948793746008666
14032,elastic_net,253,8640,192,13.632438712859466,309.3449896007457,0.8602983687896707
14033,naive_model,253,8640,192,16.260572916666668,408.64183072916666,0.7706373915163511
14034,xgboost,253,8640,384,8.16617390791575,115.83083902671234,0.8562581643692666
14035,elastic_net,253,8640,384,14.377153050311463,323.49152229334607,0.806599095147195
14036,naive_model,253,8640,384,16.080338541666666,382.00516901041664,0.7055510137907798
14037,xgboost,253,8640,960,11.164397054990133,241.14193827597447,0.8042065359939267
14038,elastic_net,253,8640,960,14.232507817950417,345.21456540790024,0.788859946765197
14039,naive_model,253,8640,960,18.11195833333333,537.152818125,0.5785785456476352
14040,xgboost,254,2880,96,6.50986377398173,68.6977612000016,0.8952691821040261
14041,elastic_net,254,2880,96,19.61229556684667,468.08209489238624,0.8236028214867064
14042,naive_model,254,2880,96,9.529166666666669,180.1730083333333,0.8565091768175
14043,xgboost,254,2880,192,17.19043238719304,1266.807584194942,0.8020201979727073
14044,elastic_net,254,2880,192,25.19182620345188,1905.6857282547132,0.7889787863169032
14045,naive_model,254,2880,192,24.328697916666663,2180.8463265625,0.6223198814561234
14046,xgboost,254,2880,384,24.308894275029505,1590.2098698927773,0.682819102947291
14047,elastic_net,254,2880,384,24.56827607082739,1849.940057801216,0.7969934038118187
14048,naive_model,254,2880,384,24.365651041666663,1906.3593184895835,0.7382271438791334
14049,xgboost,254,2880,960,21.678222892224788,1055.3475932826211,0.7370524700261992
14050,elastic_net,254,2880,960,18.90969279779305,967.842285128225,0.8375268492744333
14051,naive_model,254,2880,960,22.028770833333333,1245.060567708333,0.7218563389873657
14052,xgboost,254,2880,2880,19.99640906814072,814.2615866330724,0.7280133282068011
14053,elastic_net,254,2880,2880,19.05142950347379,753.9625162349479,0.8096770530214611
14054,naive_model,254,2880,2880,23.464986111111116,1251.6379974305555,0.7148745566287741
14055,xgboost,254,5760,96,7.638044058481853,114.39474482929953,0.9024226745812798
14056,elastic_net,254,5760,96,7.774684403143166,96.30341843068788,0.9017905588714052
14057,naive_model,254,5760,96,12.515729166666668,269.726946875,0.901953336950624
14058,xgboost,254,5760,192,11.360112803777058,205.5238609913474,0.8801671407262295
14059,elastic_net,254,5760,192,11.347580112554915,203.80955118177812,0.8012198895405193
14060,naive_model,254,5760,192,13.8153125,281.4667,0.9021615978454768
14061,xgboost,254,5760,384,14.960498950878778,437.0521248749654,0.8059104533979656
14062,elastic_net,254,5760,384,15.459038540572516,461.8037980012196,0.7050680274218997
14063,naive_model,254,5760,384,22.867578125000005,856.0606997395834,0.5758481916121118
14064,xgboost,254,5760,960,15.298737007141114,445.9474817275181,0.7336603893743916
14065,elastic_net,254,5760,960,15.29325808936858,412.6534823954512,0.6712934500101024
14066,naive_model,254,5760,960,17.85332291666667,564.8750346875,0.6211065855384585
14067,xgboost,254,5760,2880,17.583797523260117,655.4377908832552,0.7401436273583439
14068,elastic_net,254,5760,2880,19.728757816490315,743.4313441280113,0.7194338569514601
14069,naive_model,254,5760,2880,24.448260416666667,1375.6027465625,0.537785237886416
14070,xgboost,254,8640,96,5.202244853973387,46.142125594322216,0.9200628079803906
